ID_Transaksi,Jumlah_Transaksi,Jenis_Transaksi,Lokasi,Kanal_Transaksi,Usia_Nasabah,Pekerjaan_Nasabah,Durasi_Transaksi,Saldo_Akun,Jumlah_Transaksi_Log,Kluster,Nama_Segmen
TX000001,14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,5112.21,2.7140322727797574,1,C1 - Saver 
TX000002,376.24,Debit,Houston,ATM,68.0,Doctor,141.0,13758.91,5.932881589675684,1,C1 - Saver 
TX000003,126.29,Debit,Mesa,Online,19.0,Student,56.0,1122.35,4.846467947882343,2,C2- Young & Active
TX000004,184.5,Debit,Raleigh,Online,26.0,Student,25.0,8569.06,5.22305488204749,2,C2- Young & Active
TX000006,92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,781.68,4.5342110970475975,2,C2- Young & Active
TX000007,7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,13316.71,2.089391872533004,1,C1 - Saver 
TX000008,171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,2796.24,5.1499333607817785,1,C1 - Saver 
TX000009,106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,9095.14,4.674976060232054,1,C1 - Saver 
TX000010,815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1021.88,6.705590134053119,0,C0 - High Spender  
TX000011,17.78,Credit,Albuquerque,Online,52.0,Engineer,59.0,7599.52,2.932792473780117,1,C1 - Saver 
TX000012,190.02,Debit,Memphis,Online,21.0,Student,173.0,1528.81,5.252378134606592,2,C2- Young & Active
TX000013,494.52,Credit,Mesa,Branch,24.0,Student,111.0,1620.02,6.205607716224892,2,C2- Young & Active
TX000014,781.76,Debit,Memphis,ATM,26.0,Student,123.0,189.69,6.662826135596005,0,C0 - High Spender  
TX000015,166.99,Debit,Louisville,Online,18.0,Student,134.0,299.93,5.123904453822123,2,C2- Young & Active
TX000016,465.45,Debit,Denver,ATM,36.0,Engineer,129.0,3465.54,6.14515083340697,2,C2- Young & Active
TX000017,555.8,Credit,Austin,Branch,19.0,Student,158.0,1131.26,6.32220610902021,2,C2- Young & Active
TX000018,492.93,Debit,Columbus,Online,39.0,Engineer,234.0,5109.97,6.202393806742613,2,C2- Young & Active
TX000019,18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,7948.37,2.9796028916241073,1,C1 - Saver 
TX000020,71.48,Credit,Columbus,Online,18.0,Student,169.0,6568.59,4.283310661734724,2,C2- Young & Active
TX000021,59.32,Debit,Los Angeles,Branch,71.0,Retired,38.0,5750.89,4.099663723699701,1,C1 - Saver 
TX000022,85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,9146.19,4.463260939805398,1,C1 - Saver 
TX000023,52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,8974.93,3.9740583963475986,1,C1 - Saver 
TX000024,345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1402.5,5.8488635785089595,2,C2- Young & Active
TX000025,145.54,Debit,Raleigh,Online,21.0,Student,96.0,1930.96,4.987298428731818,2,C2- Young & Active
TX000026,7.49,Credit,Houston,Online,65.0,Retired,276.0,3634.67,2.138889000323256,1,C1 - Saver 
TX000027,246.93,Debit,Miami,ATM,23.0,Student,158.0,673.35,5.513146448258161,2,C2- Young & Active
TX000028,40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,2686.52,3.7213466442514376,2,C2- Young & Active
TX000029,127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1772.06,4.855539723555893,2,C2- Young & Active
TX000030,56.17,Debit,Detroit,Branch,27.0,Student,283.0,1351.69,4.04602928527588,2,C2- Young & Active
TX000031,28.31,Credit,Miami,Online,59.0,Doctor,20.0,8334.47,3.377928754722801,1,C1 - Saver 
TX000032,59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,9823.64,4.0963425648847736,1,C1 - Saver 
TX000033,396.45,Debit,New York,ATM,49.0,Engineer,168.0,9690.15,5.985069140019122,1,C1 - Saver 
TX000034,877.81,Debit,Los Angeles,Online,22.0,Student,150.0,399.0,6.778568719599104,0,C0 - High Spender  
TX000035,255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,14815.87,5.54619255408143,1,C1 - Saver 
TX000036,124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,5764.72,4.834375328680896,1,C1 - Saver 
TX000037,78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,900.61,4.371092069621102,2,C2- Young & Active
TX000038,649.28,Debit,San Jose,ATM,75.0,Retired,137.0,4875.86,6.477403039366023,0,C0 - High Spender  
TX000039,795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,7914.88,6.6799885572656725,0,C0 - High Spender  
TX000040,335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1019.39,5.818984404344884,2,C2- Young & Active
TX000041,328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,4323.66,5.797485302756558,1,C1 - Saver 
TX000042,34.02,Debit,Philadelphia,Online,38.0,Doctor,19.0,14214.48,3.555919326857706,1,C1 - Saver 
TX000043,241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,13357.02,5.490671759042366,1,C1 - Saver 
TX000044,55.32,Debit,Tucson,ATM,19.0,Student,117.0,241.79,4.0310497118497866,2,C2- Young & Active
TX000045,304.31,Debit,Louisville,Branch,27.0,Student,33.0,868.61,5.72132765387195,2,C2- Young & Active
TX000047,164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1509.27,5.108910770030852,2,C2- Young & Active
TX000048,510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,781.7,6.236839147263514,2,C2- Young & Active
TX000049,626.9,Debit,Denver,Online,26.0,Student,138.0,265.51,6.4423809181200635,2,C2- Young & Active
TX000050,22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1335.09,3.1359289040472746,2,C2- Young & Active
TX000051,425.34,Credit,Kansas City,Online,69.0,Retired,121.0,3907.54,6.055237150005048,1,C1 - Saver 
